,resid,formula,Distance to Hull (eV),decomp,Distance to known hull (eV),decomp_known,structure_uuid,functional,Energy Per Atom (eV)
53,488a26,Li2Fe3S3O,0.05137685231481548,Li2Fe4S3O2+FeS+Li2S,0.02996780268518595,FeO+FeS+Li2S,c1c6749d-2e64-4c6d-9962-5864f41b6a66,pbe,-5.214487102222222
54,172baa,Li2Fe3S3O,0.0519706384259262,Li2Fe4S3O2+FeS+Li2S,0.030561588796296668,FeO+FeS+Li2S,014f3a66-741a-44a6-a836-732578b3a926,pbe,-5.213893316111111
55,6de01a,Li6FeS3O,0.04986198727272306,Li2FeSO+Li2S,0.037714776136363426,FeO+Li2S,65901b25-bb03-40c5-a3cf-29138fce269c,pbe,-4.465738749545455
56,25c66f,Li6FeS3O,0.05016209136363248,Li2FeSO+Li2S,0.03801488022727284,FeO+Li2S,2cd2a755-7f19-44bb-8b47-68326dde1a52,pbe,-4.465438645454546
57,97e81c,Li6FeS3O,0.06064266590908751,Li2FeSO+Li2S,0.048495454772727875,FeO+Li2S,409d6d1b-a0c2-4dd8-9939-10da1dc553a0,pbe,-4.454958070909091
58,69aece,Li6FeS3O,0.07112527636363275,Li2FeSO+Li2S,0.05897806522727311,FeO+Li2S,d6336e33-a44e-4e45-88b4-fd05e03ed3f2,pbe,-4.444475460454545
59,2ad8a4,Li6FeS3O,0.0745481168181783,Li2FeSO+Li2S,0.062400905681818664,FeO+Li2S,862603f2-1b30-44b7-a157-b1b0e8e67c22,pbe,-4.44105262
60,5ab8b1,Li6Fe(SO)2,0.05275524704545553,Li2FeO2+Li2S,0.05275524704545376,Li2FeO2+Li2S,9974a449-2742-4868-892e-0ff86008e2b3,pbe,-4.69500796
61,e4d596,Li6Fe(SO)2,0.06063115704545563,Li2FeO2+Li2S,0.060631157045453854,Li2FeO2+Li2S,9fdc1eaa-a393-43e5-8469-77c6e4bf4235,pbe,-4.68713205
62,0110c3,Li6Fe(SO)2,0.06992284250000136,Li2FeO2+Li2S,0.06992284249999958,Li2FeO2+Li2S,717c452d-4e1d-4d01-b4c5-02f97503bffb,pbe,-4.677840364545454
63,5a9acc,Li6Fe(SO)2,0.07063202250000078,Li2FeO2+Li2S,0.070632022499999,Li2FeO2+Li2S,d8dbd431-7442-4c86-9682-ca6fe36f0260,pbe,-4.677131184545455
64,69b71f,Li6Fe(SO)2,0.08117194022727414,Li2FeO2+Li2S,0.08117194022727237,Li2FeO2+Li2S,613ab705-64e9-4e92-b24d-98e5d8a6bedf,pbe,-4.666591266818181
65,806eb0,Li4FeSO2,0.05845586468749975,Li2FeO2+Li2S,0.058455864687500636,Li2FeO2+Li2S,038e664b-e020-4735-bd0e-8cc874ce85dc,pbe,-4.97021738625
66,ea4b33,Li4FeSO2,0.07294571593749932,Li2FeO2+Li2S,0.07294571593750021,Li2FeO2+Li2S,702c475f-07d0-49cb-9570-53f7a25a6cad,pbe,-4.955727535
67,e978a3,Li4FeSO2,0.07322610218749936,Li2FeO2+Li2S,0.07322610218750025,Li2FeO2+Li2S,24ebe1ce-557d-48e9-a581-42788c17dd0f,pbe,-4.95544714875
68,19746e,Li4Fe3SO4,0.05881047541666451,Li2FeSO+FeO+Li2FeO2,0.047675531874999955,FeO+Li2FeO2+Li2S,3c2ba7a6-9bdd-40f3-ac5b-a12e54af6b41,pbe,-5.563100130833334
69,e96678,Li4Fe3SO4,0.08755812791666528,Li2FeSO+FeO+Li2FeO2,0.07642318437500073,FeO+Li2FeO2+Li2S,9f1a92e8-5ce4-4e8a-972c-ac27c7dfcf9b,pbe,-5.534352478333333
70,e44c20,Li4Fe3SO4,0.09050838958333163,Li2FeSO+FeO+Li2FeO2,0.07937344604166707,FeO+Li2FeO2+Li2S,6ce5eea4-8868-4cc7-b09e-555b4c7aeaeb,pbe,-5.531402216666667
71,51126e,Li4Fe3SO4,0.09184382374999789,Li2FeSO+FeO+Li2FeO2,0.08070888020833333,FeO+Li2FeO2+Li2S,5dffc9e6-ff7c-4601-b986-93f256ce59c0,pbe,-5.5300667825000005
72,6f8157,Li4Fe3SO4,0.10590366791666472,Li2FeSO+FeO+Li2FeO2,0.09476872437500017,FeO+Li2FeO2+Li2S,0634ad38-bb42-424d-ba15-52919741c65c,pbe,-5.516006938333334
73,b969a2,Li4Fe3S2O3,0.05901788937500019,Li2FeSO+FeO,0.03674800229166664,FeO+Li2S,059d5aa7-cef9-47eb-bfa1-ff41cb075c4b,pbe,-5.3500771191666665
74,953f4c,Li4Fe3S2O3,0.08585131937500012,Li2FeSO+FeO,0.06358143229166657,FeO+Li2S,2596cea6-d3eb-4a3a-bb09-18ab7d9db641,pbe,-5.323243689166667
