,resid,formula,e_above_hull,decomp,e_above_hull_known,decomp_known,structure_uuid,functional,e_pa,relax_uuid,original_uuid,relax_label,relax_structure_uuid
27,1cc1b8,Li2FeSO,0.0008139269999958287,Li2FeSO,-0.0259099375000007,FeO+Li2S,9584f940-3363-46b7-b35b-99359dc2d5a1,pbe,-5.135103986,a66986e6-61ac-4145-b2a1-67e5bb242fde,9584f940-3363-46b7-b35b-99359dc2d5a1,LFSO-Li2FeSO-201025-185827-1cc1b8 RELAX U=4.0,24f63bb8-f3f4-4dc4-9a8f-172aadadd3e3
28,4e0b8b,Li2FeSO,0.0018688703333298307,Li2FeSO,-0.0248549941666667,FeO+Li2S,0f000ca6-6d86-4ea0-9665-5e689017efee,pbe,-5.134049042666666,5c5579b8-335d-4976-ac01-287bc826bab6,0f000ca6-6d86-4ea0-9665-5e689017efee,LFSO-Li2FeSO-201025-040214-4e0b8b RELAX U=4.0,c5558110-0203-4ce1-80a0-7dc7f20fa1c7
29,2b9b69,Li2FeSO,0.001964346999995925,Li2FeSO,-0.024759517500000605,FeO+Li2S,4f3acfc2-f5df-4916-8e30-3f313b342a52,pbe,-5.133953566,c40e27ac-811f-41b5-971c-ef80b4ea9fdc,4f3acfc2-f5df-4916-8e30-3f313b342a52,LFSO-Li2FeSO-200912-001832-2b9b69 RELAX U=4.0,dd680afa-141b-4a64-9a0b-e925da5a2b46
30,a5ffb0,Li4Fe2S3O,0.04579585950000009,Li2Fe4S3O2+Li2S,0.026527714833332716,FeO+FeS+Li2S,893cf8e8-ffc1-45d1-a5f9-f6908de7c8bf,pbe,-4.8103764315,f39acdda-fc4f-4d40-93b6-48c8eb06768a,893cf8e8-ffc1-45d1-a5f9-f6908de7c8bf,LFSO-Li4Fe2S3O-200911-023604-a5ffb0 RELAX U=4.0,0132e55b-def3-428c-93b6-2c5adad94c70
31,4c1544,Li4Fe2S3O,0.050451036000000116,Li2Fe4S3O2+Li2S,0.03118289133333274,FeO+FeS+Li2S,9dc96d2a-2489-4b38-b9c8-a5d33a9034b7,pbe,-4.805721255,5988d6f1-fab4-4a2e-a812-59103c28a751,9dc96d2a-2489-4b38-b9c8-a5d33a9034b7,LFSO-Li4Fe2S3O-201026-150100-4c1544 RELAX U=4.0,fb385264-4be9-41c9-ba48-37be1336edba
32,f347db,Li4Fe2S3O,0.051009381000000076,Li2Fe4S3O2+Li2S,0.0317412363333327,FeO+FeS+Li2S,37144556-ed81-40da-9527-d1081986d419,pbe,-4.80516291,0a88488a-3bac-4f78-96b3-4cb029b22912,37144556-ed81-40da-9527-d1081986d419,LFSO-Li4Fe2S3O-200911-005132-f347db RELAX U=4.0,285f965d-039d-44d3-ae80-2868c3476599
33,d02c4b,Li4Fe2S3O,0.05335184850000019,Li2Fe4S3O2+Li2S,0.03408370383333281,FeO+FeS+Li2S,4720ad8d-b82d-4efc-986c-5d972993b28a,pbe,-4.8028204425,4a032c66-658c-48a4-a455-b4e4f80c772e,4720ad8d-b82d-4efc-986c-5d972993b28a,LFSO-Li4Fe2S3O-200911-013553-d02c4b RELAX U=4.0,5f3209e6-e6a7-4fa4-98a8-4e5f771b48ac
34,76388f,Li4Fe2S3O,0.055334288000000065,Li2Fe4S3O2+Li2S,0.03606614333333269,FeO+FeS+Li2S,1efb3122-f7c9-484a-bc5e-ac10f973bfa2,pbe,-4.800838003,236b492b-f132-4b5f-ab3a-27bb86421d7b,1efb3122-f7c9-484a-bc5e-ac10f973bfa2,LFSO-Li4Fe2S3O-200911-005752-76388f RELAX U=4.0,f3f5e1f4-cad8-4912-b6e3-5d11005ef5b1
35,68ece2,Li4Fe3S3O2,0.01807659541666773,Li2FeSO+Li2Fe4S3O2+Li2S,-0.009115135347222747,FeO+FeS+Li2S,ec2fcd8f-e716-4c62-b4e4-be0d032ee022,pbe,-5.169032005,f2da497d-e42d-4fcb-805b-c7c311738cfb,ec2fcd8f-e716-4c62-b4e4-be0d032ee022,LFSO-Li4Fe3S3O2-200926-154112-68ece2 RELAX U=4.0,07595bc5-3958-4554-9724-bb414965e347
36,f61735,Li4Fe3S3O2,0.035719408750001236,Li2FeSO+Li2Fe4S3O2+Li2S,0.00852767798611076,FeO+FeS+Li2S,e6a9fb5c-a2ff-42ba-91b7-b262f40d19ee,pbe,-5.1513891916666665,7002e669-687d-48f4-9219-ee2f7c749661,e6a9fb5c-a2ff-42ba-91b7-b262f40d19ee,LFSO-Li4Fe3S3O2-200926-075413-f61735 RELAX U=4.0,3885be55-9786-4084-b2df-87380c29eff7
