label,natoms,enthalpy,volume,pressure,symmetry,formula,nform
LFSO-Li2FeSO-201024-164646-28f0e3,5,-400.611256,14.264436,-0.0324,(C2),FeLi2OS,1
LFSO-Li2FeSO-201024-165050-e10ebf,15,-400.7343306666667,22.274754533333333,-0.0163,(R3),FeLi2OS,3
LFSO-Li2FeSO-201024-165422-c28b83,10,-400.173903,17.4661677,0.0032,(Pba2),FeLi2OS,2
LFSO-Li2FeSO-201024-165549-32da53,10,-400.28256700000003,16.1607101,-0.0183,(P3m1),FeLi2OS,2
LFSO-Li2FeSO-201024-165658-92c2f7,20,-400.7208695,22.5910552,-0.1112,(Cc),FeLi2OS,4
LFSO-Li2FeSO-201024-165749-8540d5,20,-400.53412149999997,18.392318850000002,0.1137,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-165824-b60f5c,5,-400.33462199999997,14.225415799999999,0.0,(P4mm),FeLi2OS,1
LFSO-Li2FeSO-201024-170005-64ec68,20,-400.718447,19.0160618,0.0524,(P3),FeLi2OS,4
LFSO-Li2FeSO-201024-171029-292143,5,-400.582638,14.1978676,0.0368,(R3m),FeLi2OS,1
LFSO-Li2FeSO-201024-171514-fb4eca,5,-400.75696200000004,19.6530944,0.0168,(Imm2),FeLi2OS,1
LFSO-Li2FeSO-201024-172319-f7f27a,15,-400.5431316425333,17.710414333333333,0.157,(C2),FeLi2OS,3
LFSO-Li2FeSO-201024-173345-8708c9,15,-400.62840133333333,16.971947066666665,0.003,(R3),FeLi2OS,3
LFSO-Li2FeSO-201024-173614-3769fa,20,-400.816956,15.5342939,-0.0031,(P21),FeLi2OS,4
LFSO-Li2FeSO-201024-173746-6b741d,20,-400.7337145,18.32741465,0.0187,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-174222-da12c3,20,-400.5066245,17.12888045,-0.0131,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-174450-82cd09,20,-400.7544325,17.5139608,0.0101,(Pnn2),FeLi2OS,4
LFSO-Li2FeSO-201024-174924-b67a2f,10,-400.826834,14.737478200000002,0.0029,(C2/m),FeLi2OS,2
LFSO-Li2FeSO-201024-175815-5f525d,20,-400.727572,18.1004473,0.024,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-181707-977685,15,-400.38447333333335,22.179342133333332,-0.0157,(Amm2),FeLi2OS,3
LFSO-Li2FeSO-201024-184302-efa429,15,-400.14342066666666,27.131543,-0.0174,(P222),FeLi2OS,3
LFSO-Li2FeSO-201024-184358-00d0b5,15,-400.5701946666667,18.175209866666666,-0.0502,(C2),FeLi2OS,3
LFSO-Li2FeSO-201024-184358-852816,5,-400.697116,15.7559854,0.0464,(C2),FeLi2OS,1
LFSO-Li2FeSO-201024-184358-d0179f,5,-400.512762,26.720730800000002,0.0126,(Pmmm),FeLi2OS,1
LFSO-Li2FeSO-201024-184929-8d1d7c,20,-400.784624,16.27635425,0.0285,(R3),FeLi2OS,4
LFSO-Li2FeSO-201024-185000-d6ef4f,5,-400.825558,12.935453599999999,0.0003,(C2),FeLi2OS,1
LFSO-Li2FeSO-201024-185309-15c08e,5,-400.469306,16.4412072,-0.0262,(C2),FeLi2OS,1
LFSO-Li2FeSO-201024-185856-fe0aa4,15,-400.746918,16.057293666666666,-0.0663,(P2),FeLi2OS,3
LFSO-Li2FeSO-201024-190243-f46f01,5,-400.58120399999996,14.1991842,-0.0661,(R3m),FeLi2OS,1
LFSO-Li2FeSO-201024-190949-fa18fa,10,-400.82230100000004,16.0842161,0.0221,(Pc),FeLi2OS,2
LFSO-Li2FeSO-201024-191205-95c4a5,20,-400.6972695,17.39783835,0.379,(P21),FeLi2OS,4
LFSO-Li2FeSO-201024-191721-7bd270,5,-399.84822399999996,15.410461799999998,0.0435,(P3m1),FeLi2OS,1
LFSO-Li2FeSO-201024-191741-584c45,10,-400.80539699999997,15.696740600000002,-0.0253,(P-1),FeLi2OS,2
